Unique Drugs,Unique Targets,Drug Names,Target Name
O=C(O)c1ccc(Nc2nccc(Nc3ccccc3C(F)(F)F)n2)cc1,,4-[(4-{[2-(Trifluoromethyl)phenyl]amino}pyrimidin-2-Yl)amino]benzoic Acid,
O=C(O)c1ccc(Nc2nccc(Nc3ccccc3Br)n2)cc1,,4-({4-[(2-Bromophenyl)amino]pyrimidin-2-Yl}amino)benzoic Acid,
N#Cc1ccccc1Nc1ccnc(Nc2ccc(C(=O)O)cc2)n1,,4-({4-[(2-Cyanophenyl)amino]pyrimidin-2-Yl}amino)benzoic Acid,
Cc1[nH]nc2c1C(C)C1=C(CC(C)(C)CC1=O)N2,,DPI59,
O=C(NCCNCC(O)COc1ccc(OCCOC2CCCC2)cc1)Nc1ccccc1O,,5-Phosphoarabinonic Acid,
O=C(NCCNCC(O)COc1ccc(OCCOC2CCCC2)cc1)Nc1ccc(O)cc1,,Chlorothiazide,
O=C(NCCNCC(O)COc1ccc(OCCOCC2CC2)cc1)Nc1ccc(O)cc1,,Methylprednisolone hemisuccinate,
O=C(NCCNCC(O)COc1ccc(OCCOCCc2ccc(F)cc2)cc1)Nc1ccc(O)cc1,,"(5,6-DIPHENYL-FURO[2,3-D]PYRIMIDIN-4-YLAMINO)-ACETIC",
CCOCCOc1ccc(OCC(O)CNCCNC(=O)Nc2ccc(O)cc2)cc1,,Carpropamide,
O=C(NCCNCC(O)COc1ccc(OCCOC2CCCC2)cc1)Nc1ccccc1,,Cinazepam,
COc1ccc(NC(=O)NCCNCC(O)COc2ccc(OCCOC3CCCC3)cc2)cc1,,Ursadiol,
Cc1cccc(NC(=O)NCCNCC(O)COc2ccc(OCCOC3CCCC3)cc2)c1,,Ursolic acid,
Cc1ccc(NC(=O)NCCNCC(O)COc2ccc(OCCOC3CCCC3)cc2)cc1,,Phosphonothreonine,
COc1ccccc1NC(=O)NCCNCC(O)COc1ccc(OCCOC2CCCC2)cc1,,Ioglycamic acid,
O=C(NCCNCC(O)COc1ccc(OCCOC2CCCC2)cc1)Nc1cccc(F)c1,,"N-{3-[4-Hydroxy-1-(3-methylbutyl)-2-oxo-1,2-dihydropyrrolo[1,2-b]pyridazin-3-yl]-1,1-dioxido-2H-1,2,4-benzothiadiazin-7-yl}methanesulfonamide",
O=C(NCCNCC(O)COc1ccc(OCCOC2CCCC2)cc1)Nc1ccc(F)cc1,,Aprocitentan,
O=C(NCCNCC(O)COc1ccc(OCCOC2CCCC2)cc1)Nc1ccccc1Cl,,BX-528,
O=C(NCCNCC(O)COc1ccc(OCCOC2CCCC2)cc1)Nc1ccccc1Br,,5-hydroxyvaleric acid,
O=C(NCCNCC(O)COc1ccc(OCCOC2CCCC2)cc1)Nc1cccc(C(F)(F)F)c1,,Imagabalin,
O=C(NCCNCC(O)COc1ccc(OCCOC2CCCC2)cc1)Nc1ccc(C(F)(F)F)cc1,,N-beta-D-glucopyranosylacetamide,
NC(=O)c1cc[n+](COC[n+]2ccccc2CN=O)cc1,,NoName_1433,
NC(=O)c1cc(F)cc2c1C(=O)N(C1CCN(C3CCC(=O)CC3)CC1)C2,,"2-[(2e,6e,10e,14e,18e,22e,26e)-3,7,11,15,19,23,27,31-Octamethyldotriaconta-2,6,10,14,18,22,26,30-Octaenyl]Phenol",
NC(=O)c1cc(F)cc2c1C(=O)N(C1CCN(C3CCC(Cl)(Cl)CC3)CC1)C2,,(Hydroxyethyloxy)Tri(Ethyloxy)Octane,
O=c1ccc2nc3ccc(OCc4cn(CCF)nn4)cc3oc-2c1,,BMS-903452,
O=c1ccc2nc3ccc(OCCBr)cc3oc-2c1,,"N-hydroxy-5-[(3-phenyl-5,6-dihydroimidazo[1,2-a]pyrazin-7(8H)-yl)carbonyl]thiophene-2-carboxamide",
O=c1ccc2nc3ccc(OCc4ccc(I)cc4)cc3oc-2c1,,Miglitol,
CC1CN(Cc2cccc(-c3cc(CNC(=O)c4cccc(CN5CCCN(C)CC5)c4)ccc3F)c2)CCN1,,3-[4-(1-formylpiperazin-4-yl)-benzylidenyl]-2-indolinone,
NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C2(Cc3ccccc3C2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O,,5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide,
CC1CN(Cc2cccc(-c3cc(CNC(=O)c4cccc(CN5CCN(C)CC5)c4)ccc3F)c2)CCN1,,N-Alpha-(2-Naphthylsulfonyl)-N-(3-Amidino-L-Phenylalaninyl)-D-Pipecolinic Acid,
CC[C@H](C)[C@H]1NC(=O)[C@H](Cc2cc3ccccc3[nH]2)NC(=O)CC2(CCCCC2)SSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN)C(=O)O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC1=O,,PF-06260414,
CC[C@H](C)[C@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)CC2(CCCCC2)SSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN)C(=O)O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC1=O,,Fosnetupitant,
Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@H](O)[C@@H](Oc5ccccc5F)C4)cc3)nn3cccc23)n[nH]1,,Tipelukast,
Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@H](O)[C@@H](Oc5cc(F)cc(F)c5)C4)cc3)nn3cccc23)n[nH]1,,Apaziquone,
CC1CN(Cc2cccc(-c3cc(CNC(=O)c4cccc(CN(C)CCCN(C)C)c4)ccc3F)c2)CCN1,,"1-deoxy-1-{2,6,8-trioxo-7-[4-(phosphonooxy)butyl]-1,2,3,6,7,8-hexahydro-9H-purin-9-yl}-D-arabinitol",
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OCCCN1CCOCC1,,N-({4-[(2-aminopyridin-4-yl)oxy]-3-fluorophenyl}carbamoyl)-2-(4-fluorophenyl)acetamide,
CCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OC,,Pridinol,
Cc1cc(Nc2nc(Sc3ccc(NC(=O)C4CC4)cc3)nn3cc(NC(=O)CN4CCC[C@@H]4CO)cc23)[nH]n1,,"9-HYDROXY-4-PHENYL-6H-PYRROLO[3,4-C]CARBAZOLE-1,3-DIONE",
Cc1cc(Nc2nc(Sc3ccc(NC(=O)C4CC4)cc3)nn3cc(NC(=O)C(=O)N4CCN(C)CC4)cc23)[nH]n1,,Sanglifehrin A,
COCCO[C@H]1CN(CC(=O)Nc2ccc(Sc3nc(Nc4cc(C)[nH]n4)c4cccn4n3)cc2)C[C@@H]1O,,"{[(2,2-Dihydroxy-Ethyl)-(2,3,4,5-Tetrahydroxy-6-Phosphonooxy-Hexyl)-Amino]-Methyl}-Phosphonic Acid",
CCOc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OC,,"4-[3-Hydroxyanilino]-6,7-Dimethoxyquinazoline",
COCCOc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OC,,Brexanolone,
CC(C)=CCCC(C)=Cc1c(O)cc2oc(-c3ccccc3)cc(=O)c2c1O,,LGH-447,
O=c1cc(-c2ccc(F)c(F)c2)oc2cc(O)cc(O)c12,,7-HYDROXY-4-METHYL-3-(2-HYDROXY-ETHYL)COUMARIN,
CC(C)CNc1nc2cc3c(=O)cc(-c4ccc(C(=O)N[C@@H](Cc5ccccc5)C(N)=O)cc4)oc3cc2n1Cc1ccccc1,,4-NITRO-BENZYLPHOSPHONOBUTANOYL-GLYCINE,
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@H](NC(=O)c2cccc(I)c2)CC[C@@]3(O)[C@H]1C5,,Nicotinamide 8-bromo-adenine dinucleotide phosphate,
CC[C@H](C)[C@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)CC2(CCCCC2)SSC[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN)C(=O)N[C@@H](Cc2ccc(O)cc2)C(N)=O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC1=O,,Nequinate,
CC[C@H](C)[C@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)CC2(CCCCC2)SSC[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN)C(=O)O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC1=O,,3-fluoro-N-1H-indol-5-yl-5-morpholin-4-ylbenzamide,
CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(N)=O)[C@@H](C)O,,3-(2-Benzothiazolylthio)-1-Propanesulfonic Acid,
COc1cc2ncnc(Oc3cc(NC(=O)Nc4cc(C(C)(C)C)on4)c(F)cc3F)c2cc1OC,,2'-Deoxyuridine,
CC(C)=Cc1c(O)cc2oc(-c3ccccc3)c(O)c(=O)c2c1O,,(R)-2-(FORMYLOXY)-3-(PHOSPHONOOXY)PROPYL PENTANOATE,
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)c3)c2cc1OC,,"US9730937, Example 176",
CC1CN(Cc2cccc(-c3cc(CNC(=O)c4cccc(CN5CCCCC5)c4)ccc3F)c2)CCN1,,2-[METHYL-(5-GERANYL-4-METHYL-PENT-3-ENYL)-AMINO]-ETHYL-DIPHOSPHATE,
CC[C@H](C)[C@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)CC2(CCCCC2)SSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN)C(=O)N[C@@H](Cc2ccc(O)cc2)C(N)=O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC1=O,,Exemestane,
CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(C(c2ccccc2)c2ccccc2)NC(=O)CC2(CCCCC2)SSCC(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O,,Andarine,
C=C([C@H]1Cc2ccccc2CN1C(=O)[C@H](CO)CC(=O)[C@H](Cc1cccs1)NC(=O)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](N)CCCN=C(N)N)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21,,Methscopolamine bromide,
Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@H]5C[C@H]5[C@H]4CO)cc3)nn3cccc23)n[nH]1,,O-(((1R)-((N-PHENYLMETHOXYCARBONYL-L-ALANYL)AMINO)ETHYL)HYDROXYPHOSPHONO)-L-BENZYLACETIC ACID,
COc1cc2ncnc(Oc3cc(NC(=O)Nc4cc(C(C)(C)C)on4)ccc3F)c2cc1OC,,Valopicitabine,
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@H](NC(=O)c2cccc(I)c2)CC[C@@]3(O)[C@H]1C5,,Methylsamidorphan,
NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(C(c2ccccc2)c2ccccc2)NC(=O)CC2(CCCCC2)SSCC(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O,,Imiquimod,
CC[C@H](C)[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)CC1(S)CCCCC1)C(=O)N[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CS)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(N)=O)[C@@H](C)O,,Alclometasone,
Cc1cc(Nc2nc(Sc3ccc(NC(=O)C4CC4)cc3)nn3cc(NC(=O)CN4CCOCC4)cc23)[nH]n1,,7-methyl-GpppA,
Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@H](O)[C@@H](Oc5ccc(F)cc5F)C4)cc3)nn3cccc23)n[nH]1,,4-Methoxy-E-Rhodomycin T,
COc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OCCCN1CCOCC1,,Trichostatin A,
CC(C)=Cc1c(O)cc(O)c2c(=O)c(O)c(-c3ccccc3)oc12,,1-(PHENYLMETHYL)CYCLOPENTYL[(1S)-1-FORMYLPENTYL]CARBAMATE,
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4ccc(C(C)(C)C)cc4)c3)c2cc1OC,,Oxprenolol,
CC[C@@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H](N)C(C)(C)SSC[C@@H]2NC(=O)[C@@H](CC(N)=O)NC(=O)[C@@H](CCC(=O)NCCCC[C@H](C(=O)NCC(N)=O)NC(=O)[C@H]3CCCN3C2=O)NC1=O,,Sulfaethoxypyridazine,
CC1CN(Cc2cccc(-c3cc(CNC(=O)c4cccc(CN5CCOCC5)c4)ccc3F)c2)CCN1,,Cytidine 3'-monophosphate,
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N\OCCCO,,Idoxuridine,
Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@H](OC(C)(C)C)C[C@@H]4CO)cc3)nn3cccc23)n[nH]1,,N-[(1S)-2-[(4-cyano-1-methylpiperidin-4-yl)amino]-1-(cyclohexylmethyl)-2-oxoethyl]morpholine-4-carboxamide,
C=CC(C)(C)c1c(OC)cc(O)c2c(=O)c(OC)c(-c3ccccc3)oc12,,S-Selanyl Cysteine,
CC(C)=Cc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,,Bedoradrine,
COc1cc2ncnc(Oc3ccc(Cl)c(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OC,,Firategrast,
CC1CN(Cc2cccc(-c3cc(CNC(=O)c4cccc(CN(C)C)c4)ccc3F)c2)CCN1,,(R)-acetoin,
CC[C@H](C)[C@H]1NC(=O)[C@H](Cc2cc3ccccc3[nH]2)NC(=O)CC2(CCCCC2)SSC[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN)C(=O)O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC1=O,,"(3R,4S)-1-[(4-AMINO-5H-PYRROLO[3,2-D]PYRIMIDIN-7-YL)METHYL]-4-[(METHYLSULFANYL)METHYL]PYRROLIDIN-3-OL",
CC[C@H](C)[C@@H]1NC(=O)CC2(CCCCC2)SSC[C@@H](C(=O)N(C)CC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2ccccc2)NC1=O,,Ilaprazole,
Cc1cc(Nc2nc(Sc3ccc(NC(=O)C4CC4)cc3)nn3cc(NC(=O)CN4CCCC4)cc23)[nH]n1,,RU82209,
Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4CCOCC4)cc3)nn3cccc23)n[nH]1,,Brequinar,
Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@H](Oc5ccc(F)cc5)[C@H](O)C4)cc3)nn3cccc23)n[nH]1,,S-23,
CC(C)=Cc1c(O)cc2oc(-c3ccccc3)cc(=O)c2c1O,,Lithium citrate,
CC1CN(Cc2cccc(-c3cc(CNC(=O)c4cccc(CN5CCN(C=O)CC5)c4)ccc3F)c2)CCN1,,PF-06700841,
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(C)=O)C(N)=O,,Rociletinib,
CSc1nc(N)nc(-c2ccccc2C)n1,,"N-phenyl-1H-pyrrolo[2,3-b]pyridin-3-amine",
Cc1cc(Nc2nc(Sc3ccc(NC(=O)CNC4CCCC4)cc3)nn3cccc23)n[nH]1,,Alfaxalone,
Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@H](O)[C@@H](Oc5cccc(F)c5)C4)cc3)nn3cccc23)n[nH]1,,"(2R)-1-[(5,6-DIPHENYL-7H-PYRROLO[2,3-D]PYRIMIDIN-4-YL)AMINO]PROPAN-2-OL",
CC(C)=Cc1c(O)c(C=C(C)C)c2oc(-c3ccccc3)cc(=O)c2c1O,,Meloxicam,
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cccc(C(C)(C)C)c4)c3)c2cc1OC,,ABT-639,
COc1cccc(NC(=O)Nc2cccc(Oc3ncnc4cc(OC)c(OC)cc34)c2)c1,,3-(1-Aminoethyl)Nonanedioic Acid,
Cc1cc(CC(=O)N2C[C@H](O)C[C@H]2C(=O)NCc2ccc(-c3cnco3)cc2)on1,,Levonordefrin,
CCOC(=O)c1ccnc2[nH]ccc12,,"Ethyl 1H-pyrrolo[2,3-b]pyridine-4-carboxylate",
O=S(=O)(c1cccs1)N1CCN(c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)CC1,,[(1S)-1-acetamido-2-(4-chlorophenyl)ethyl]-[(2S)-2-amino-3-hydroxy-3-oxo-propoxy]-dihydroxy-boron,
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC,,CEP-32496,
CCCOc1ccc(C[C@@H](Cc2ccccc2)C(=O)O)cc1CNC(=O)c1ccc(N2CCCCC2)cc1,,(2S)-2-(4-chlorophenyl)-2-[4-(1H-pyrazol-4-yl)phenyl]ethanamine,
NS(=O)(=O)c1ccc(C(=O)CSc2ncccn2)cc1,,Asunaprevir,
O=C1Nc2ccccc2[C@]12CCNC2,,CP-744809,
CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)ccc1N(C)CCN,,"Acetamide, N-[2-[(2-aminoethyl)methylamino]-5-[[3-cyano-7-(cyclopropylamino)pyrazolo[1,5-a]pyrimidin-5-yl]amino]phenyl]-",
CN(C)c1ccc(/N=N/c2nc3ccc(OCCOCCOCCF)cc3s2)cc1,,[4-({4-[(5-cyclopropyl-1H-pyrazol-3-yl)amino]-6-(methylamino)pyrimidin-2-yl}amino)phenyl]acetonitrile,
NC(=O)COc1ccc(Nc2nncc3c(-c4ccc(O)cc4)cccc23)cc1,,Xipamide,
O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1nc(-c2ccccc2)cs1,,ginkgolide-M,
O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccccc1,,1308677-14-6,
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4C)c3)c2cc1OC,,2-(4-CARCOXY-5-ISOPROPYLTHIAZOLYL)BENZOPIPERIDINE,
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)C)on4)c3)c2cc1OC,,Clinofibrate,
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C5CCCC5)on4)c3)c2cc1OC,,Folic acid,
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(-c5ccccc5)on4)c3)c2cc1OC,,N-hexadecanoylglycine,
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C5CCCC5)no4)c3)c2cc1OC,,LY-2300559,
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C5(C(F)(F)F)CCC5)no4)c3)c2cc1OC,,"US9730937, Example 155",
COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)F)no4)c3)c2cc1OC,,Larotaxel,
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4C(C)C)c3)c2cc1OC,,Febuxostat,
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4CC(C)C)c3)c2cc1OC,,"2-[(4-ETHYNYL-2-FLUOROPHENYL)AMINO]-3,4-DIFLUORO-N-(2-HYDROXYETHOXY)BENZAMIDE",
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4C4CCCCC4)c3)c2cc1OC,,Lutein,
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccccc4)c3)c2cc1OC,,Prednisolone hemisuccinate,
CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O,,EPZ004777,
CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cc(Br)c3c(N)ncnc32)[C@H](O)[C@@H]1O,,1561178-17-3,
Clc1cncc(-c2nnc[nH]2)n1,,Galeterone,
COc1ccc(-n2nc3c(NC(=O)CCC(=O)NCCOCCOCCN)nc4ccccc4n3c2=O)cc1,,Talniflumate,
COc1ccc(-n2nc3c(NC(=O)CN)nc4ccccc4n3c2=O)cc1,,Beclamide,
COc1ccc(-n2nc3c(NC(=O)CCC(=O)NCCOCCOCCNC(=O)CCCCCNC(=O)COc4ccc(C5=[N+]6C(=Cc7ccc(-c8cccs8)n7[B-]6(F)F)C=C5)cc4)nc4ccccc4n3c2=O)cc1,,1-CHLORO-6-(4-HYDROXYPHENYL)-2-NAPHTHOL,
CC(C)(C)c1cc(NC(=O)Nc2nc(CCOCc3ccccc3)cs2)n(-c2cccc(CC(=O)O)c2)n1,,Conivaptan,
O=C(O)Cc1cccc(-n2nc(C3CCCC3)cc2NC(=O)Nc2nc(CCOCc3ccccc3)cs2)c1,,"3,4-dihydroxy-9,10-secoandrosta-1(10),2,4-triene-9,17-dione",
O=C(O)Cc1ccc(-n2nc(C3CCCC3)cc2NC(=O)Nc2nc(CCOCc3ccccc3)cs2)cc1,,Tipranavir C-14,
Cc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NO)cc1,,Thymidine monophosphate,
O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccc(Cl)cc1,,Nabumetone,
CC(=O)Nc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NO)cc1,,Darodipine,
N#Cc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NO)cc1,,"(5E,13E)-11-HYDROXY-9,15-DIOXOPROSTA-5,13-DIEN-1-OIC ACID",
O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccc(I)cc1,,Triciribine,
Cc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NO)cc1C,,2-Amino-6-Chloropyrazine,
O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccc(-c2ccccc2)cc1,,6'-Methyl-Thiamin Diphosphate,
CCc1cccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NO)c1,,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1R)-1-(hydroxymethyl)propyl]acetamide,
O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccc(-c2cn(-c3ccccc3)nn2)cc1,,"2,4-Dihydroxy-3,3-Dimethyl-Butyrate",
O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccc2ccc3cccc4ccc1c2c34,,Fialuridine,
O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccc(-c2cnnn2-c2ccccc2)cc1,,"2-[5-Methanesulfonylamino-2-(4-Aminophenyl)-6-Oxo-1,6-Dihydro-1-Pyrimidinyl]-N-(3,3,3-Trifluoro-1-Isopropyl-2-Oxopropyl)Acetamide",
O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1cccc2ccccc12,,Bisoprolol,
O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1cccc(-c2ccccc2)c1,,3-(7-hydroxy-8-ribityllumazine-6-yl) propionic acid,
O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccc2ccccc2c1,,"3-[2,6,8-Trioxo-9-[(2R,3S,4R)-2,3,4,5-tetrahydroxypentyl]-3H-purin-7-yl]propyl dihydrogen phosphate",
O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccccc1-c1ccccc1,,Acetyl sulfisoxazole,
O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccc2cc3ccccc3cc2c1,,4-Vinylguaiacol,
O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1cc2ccccc2c2ccccc12,,AV-101,
O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1cccc2cc3ccccc3cc12,,N~2~-Succinylornithine,
O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(Nc2ccccc2)c1)N1CCC(N2CCCC2)CC1,,UNC1215,
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O)[C@@H](C)O)[C@@H](C)CC,,"5-benzyl-1,3-thiazol-2-amine",
COC(=O)[C@H](CCCCN)C1C(=O)CC2C1=CC(=O)CC2(C)C,,"Cyclophilin Inhibitor, 15",
COC(=O)[C@H](CCCN=C(N)N[N+](=O)[O-])C1C(=O)CC2C1=CC(=O)CC2(C)C,,"Cyclophilin Inhibitor, 3c",
COC(=O)[C@H](CCCCNS(=O)(=O)c1cccc2c(N(C)C)cccc12)C1C(=O)CC2C1=CC(=O)CC2(C)C,,"Cyclophilin Inhibitor, 3e",
COC(=O)[C@H](CCCCNS(=O)(=O)c1cccc2c(N(C)C)cccc12)C1C(=O)C[C@@H]2C1=CC(=O)CC2(C)C,,"Cyclophilin Inhibitor, 3f",
